osm_id,osm_type,latitude,longitude,name,operator,normalized_category,relevance_tier,facility_type,source_tile,raw_tags
4247387037,node,10.9423988,77.3134435,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387038,node,10.9426837,77.2835814,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387039,node,10.9427043,77.3082541,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387040,node,10.9430181,77.2990781,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387041,node,10.9434971,77.3031867,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387042,node,10.9437159,77.312266,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387043,node,10.9443641,77.3148901,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387044,node,10.9443972,77.2990318,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387045,node,10.9447935,77.3120852,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387046,node,10.9448183,77.283573,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387047,node,10.9450578,77.3190744,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387048,node,10.9455078,77.314436,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387049,node,10.9456978,77.301698,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387050,node,10.9460363,77.2986828,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387051,node,10.9464409,77.3066645,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387052,node,10.9468703,77.2882956,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387053,node,10.947052,77.3183974,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387054,node,10.9471511,77.2857346,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387055,node,10.9475351,77.3029344,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387056,node,10.947886,77.3050412,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387057,node,10.9480388,77.2880517,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387058,node,10.9483567,77.3011303,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387059,node,10.9493683,77.2860163,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
4247387060,node,10.9493765,77.3050581,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
