latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,satellite_source,index_right,osm_id,osm_type,facility_type,name,operator,distance_to_facility_m,near_industrial_500m,near_industrial_1000m,near_industrial_2000m,near_industrial_5000m,distance_to_facility_km,industrial_facility_present,facility_type_code,day_of_year,month,year,hour,is_day,is_forest_fire_season,is_stubble_burning_season,brightness_difference,frp_brightness_ratio,log_frp,confidence_numeric,is_n20,is_suomi_npp,grid_lat,grid_lon,grid_id,grid_active_days,grid_detection_count,grid_total_frp,grid_brightness_mean,grid_brightness_std,grid_frp_mean,grid_frp_std,grid_n,brightness_zscore_local,frp_zscore_local,used_local_baseline,high_brightness_flag_local,high_frp_flag_local,persistent_location_flag,row_id,landcover_code,landcover_class,weak_label,predicted_class,predicted_class_confidence
12.64997,77.90159,303.67,0.5,0.41,2024-11-05,2004,N20,VIIRS,n,2.0NRT,290.7,0.53,N,VIIRS_N20,6,100006,node,Power Plant,Thermal Power Station #7,,53766.67140419328,0,0,0,0,53.76667140419328,1,1,310,11,2024,20,0,0,1,12.970000000000027,0.0017453156386867323,0.4252677354043441,1.0,1,0,12.64,77.9,12.64_77.9,2,2,6.23,320.055,23.17188921948315,3.115,3.6557420587344507,2,-0.9440076109131085,-0.7822114568055637,0,0,0,0,20,40.0,Cropland,Agricultural Burning,Agricultural Burning,0.6353937828467612
12.65149,77.90409,307.14,0.5,0.41,2024-11-05,2004,N20,VIIRS,n,2.0NRT,290.66,0.73,N,VIIRS_N20,6,100006,node,Power Plant,Thermal Power Station #7,,53922.850305067026,0,0,0,0,53.92285030506702,1,1,310,11,2024,20,0,0,1,16.47999999999996,0.0023767662955004234,0.5481214085096876,1.0,1,0,12.65,77.9,12.65_77.9,3,4,4.51,305.81,6.968428804257114,1.1275,0.8083470789209298,4,-0.719008977335583,-0.6945822885771336,0,0,0,1,21,40.0,Cropland,Other/Unclassified,Agricultural Burning,0.5932797983887603
11.18193,79.09972,305.49,0.42,0.38,2024-11-05,2004,N20,VIIRS,n,2.0NRT,293.98,0.89,N,VIIRS_N20,12,100012,node,Power Plant,Thermal Power Station #13,,25719.14441609224,0,0,0,0,25.71914441609224,1,1,310,11,2024,20,0,0,1,11.509999999999991,0.002913352319224852,0.636576829071551,1.0,1,0,11.18,79.09,11.18_79.09,10,20,18.59,305.3995,3.199398751081369,0.9295,0.2404267040076872,20,0.02828656477078132,-0.16429123446593952,1,0,0,1,22,20.0,Shrubland,Other/Unclassified,Other/Unclassified,0.9579945218312156
10.44399,79.01185,329.26,0.65,0.73,2024-11-06,852,N20,VIIRS,n,2.0NRT,296.96,4.07,D,VIIRS_N20,3,100003,node,Oil & Gas,Petroleum Refinery #4,,30809.780323113257,0,0,0,0,30.809780323113255,1,7,311,11,2024,8,1,0,1,32.30000000000001,0.01236105205612586,1.623340817603092,1.0,1,0,10.44,79.01,10.44_79.01,2,2,8.72,334.015,6.724585489084061,4.36,0.4101219330881976,2,0.7152762603401828,0.7688248208376505,0,0,0,0,23,40.0,Cropland,Agricultural Burning,Agricultural Burning,0.7707750805991981
13.08217,79.97812,305.51,0.49,0.48,2024-11-06,1946,N20,VIIRS,n,2.0NRT,289.63,1.13,N,VIIRS_N20,17,100017,node,Warehouse/Depot,Logistics Hub #18,,118349.17516364552,0,0,0,0,118.34917516364551,1,4,311,11,2024,19,0,0,1,15.879999999999995,0.003698733265686884,0.7561219797213337,1.0,1,0,13.08,79.97,13.08_79.97,7,10,14.08,306.96,4.861099555541813,1.408,0.9192847461175697,10,-0.29828642335599587,-0.3024090208981297,1,0,0,1,24,40.0,Cropland,Other/Unclassified,Other/Unclassified,0.7764627814091988
13.08157,79.98259,306.65,0.49,0.48,2024-11-06,1946,N20,VIIRS,n,2.0NRT,289.54,1.15,N,VIIRS_N20,17,100017,node,Warehouse/Depot,Logistics Hub #18,,118695.16289794845,0,0,0,0,118.69516289794845,1,4,311,11,2024,19,0,0,1,17.109999999999957,0.0037502038154247513,0.7654678421395714,1.0,1,0,13.08,79.98,13.08_79.98,5,11,15.69,308.31363636363636,10.512393897421513,1.4263636363636363,2.15390934222995,11,-0.15825475908436454,-0.12830792408259678,1,0,0,1,25,10.0,Tree cover,Other/Unclassified,Other/Unclassified,0.96537484356602
12.11268,79.59145,332.93,0.53,0.42,2024-11-08,813,N20,VIIRS,n,2.0NRT,300.65,4.24,D,VIIRS_N20,17,100017,node,Warehouse/Depot,Logistics Hub #18,,62668.110632165764,0,0,0,0,62.668110632165764,1,4,313,11,2024,8,1,0,1,32.28000000000003,0.012735409845913556,1.6563214983329508,1.0,1,0,12.11,79.59,12.11_79.59,1,1,4.24,332.93,,4.24,,1,0.9532431148731882,0.843309613831816,0,0,0,0,26,20.0,Shrubland,Other/Unclassified,Other/Unclassified,0.4608995846844478
12.97006,79.91603,320.27,0.37,0.58,2024-11-08,2048,N20,VIIRS,n,2.0NRT,278.03,1.46,N,VIIRS_N20,17,100017,node,Warehouse/Depot,Logistics Hub #18,,105573.81929512243,0,0,0,0,105.57381929512243,1,4,313,11,2024,20,0,0,1,42.24000000000001,0.0045586536359946295,0.9001613499442714,1.0,1,0,12.97,79.91,12.97_79.91,2,2,2.61,310.315,14.07849601342414,1.305,0.21920310216782976,2,0.13235472839148724,-0.37473582454336346,0,0,0,0,27,10.0,Tree cover,Other/Unclassified,Other/Unclassified,0.5346766893657064
11.81808,77.91673,300.71,0.56,0.52,2024-11-08,2048,N20,VIIRS,n,2.0NRT,281.62,1.01,N,VIIRS_N20,15,100015,node,Oil & Gas,Petroleum Refinery #16,,14077.147475770791,0,0,0,0,14.077147475770792,1,7,313,11,2024,20,0,0,1,19.089999999999975,0.003358717701439926,0.6981347220709844,1.0,1,0,11.81,77.91,11.81_77.91,20,43,64.3,308.93627906976747,7.833273664389497,1.4953488372093022,0.7060599894829163,43,-1.0501712849845415,-0.6874045328141989,1,0,0,1,28,40.0,Cropland,Other/Unclassified,Other/Unclassified,0.8323591695575799
11.81653,77.91456,300.69,0.56,0.52,2024-11-08,2048,N20,VIIRS,n,2.0NRT,279.36,1.23,N,VIIRS_N20,15,100015,node,Oil & Gas,Petroleum Refinery #16,,13799.630813550903,0,0,0,0,13.799630813550902,1,7,313,11,2024,20,0,0,1,21.329999999999984,0.004090591639229772,0.8020015854720274,1.0,1,0,11.81,77.91,11.81_77.91,20,43,64.3,308.93627906976747,7.833273664389497,1.4953488372093022,0.7060599894829163,43,-1.052724495922505,-0.375816277882607,1,0,0,1,29,40.0,Cropland,Other/Unclassified,Other/Unclassified,0.8438723002630966
