event_id,processing_status,pre_event_status,post_event_status,is_real_cdse_data,processing_timestamp,error_category
FIRMS_TN_0054,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:23:51Z,MISSING_PRODUCT
FIRMS_TN_0055,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:23:55Z,MISSING_PRODUCT
FIRMS_TN_0056,PARTIAL_PRE_ONLY,REAL_CDSE_SUCCESS,MISSING_PRODUCT,True,2026-09-05T16:23:58Z,
FIRMS_TN_0057,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:24:01Z,MISSING_PRODUCT
FIRMS_TN_0058,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:24:03Z,MISSING_PRODUCT
FIRMS_TN_0059,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:24:08Z,MISSING_PRODUCT
FIRMS_TN_0060,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:24:11Z,MISSING_PRODUCT
FIRMS_TN_0061,PARTIAL_PRE_ONLY,REAL_CDSE_SUCCESS,MISSING_PRODUCT,True,2026-09-05T16:24:14Z,
FIRMS_TN_0062,CLOUD_REJECTED,CLOUD_REJECTED,MISSING_PRODUCT,True,2026-09-05T16:24:17Z,CLOUD_REJECTED
FIRMS_TN_0063,CLOUD_REJECTED,CLOUD_REJECTED,MISSING_PRODUCT,True,2026-09-05T16:24:23Z,CLOUD_REJECTED
FIRMS_TN_0064,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:24:26Z,MISSING_PRODUCT
FIRMS_TN_0065,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:24:30Z,MISSING_PRODUCT
FIRMS_TN_0066,PARTIAL_PRE_ONLY,REAL_CDSE_SUCCESS,MISSING_PRODUCT,True,2026-09-05T16:24:33Z,
FIRMS_TN_0067,CLOUD_REJECTED,CLOUD_REJECTED,MISSING_PRODUCT,True,2026-09-05T16:24:38Z,CLOUD_REJECTED
FIRMS_TN_0068,PARTIAL_PRE_ONLY,REAL_CDSE_SUCCESS,MISSING_PRODUCT,True,2026-09-05T16:24:41Z,
FIRMS_TN_0069,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:24:43Z,MISSING_PRODUCT
FIRMS_TN_0070,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:24:46Z,MISSING_PRODUCT
FIRMS_TN_0071,PARTIAL_PRE_ONLY,REAL_CDSE_SUCCESS,MISSING_PRODUCT,True,2026-09-05T16:24:51Z,
FIRMS_TN_0072,PARTIAL_PRE_ONLY,REAL_CDSE_SUCCESS,MISSING_PRODUCT,True,2026-09-05T16:24:55Z,
FIRMS_TN_0073,CLOUD_REJECTED,CLOUD_REJECTED,MISSING_PRODUCT,True,2026-09-05T16:25:01Z,CLOUD_REJECTED
FIRMS_TN_0074,CLOUD_REJECTED,CLOUD_REJECTED,MISSING_PRODUCT,True,2026-09-05T16:25:06Z,CLOUD_REJECTED
FIRMS_TN_0075,CLOUD_REJECTED,CLOUD_REJECTED,MISSING_PRODUCT,True,2026-09-05T16:25:12Z,CLOUD_REJECTED
FIRMS_TN_0076,PARTIAL_PRE_ONLY,REAL_CDSE_SUCCESS,MISSING_PRODUCT,True,2026-09-05T16:25:20Z,
FIRMS_TN_0077,CLOUD_REJECTED,CLOUD_REJECTED,MISSING_PRODUCT,True,2026-09-05T16:25:24Z,CLOUD_REJECTED
FIRMS_TN_0078,PARTIAL_PRE_ONLY,REAL_CDSE_SUCCESS,MISSING_PRODUCT,True,2026-09-05T16:25:30Z,
FIRMS_TN_0079,CLOUD_REJECTED,CLOUD_REJECTED,MISSING_PRODUCT,True,2026-09-05T16:25:33Z,CLOUD_REJECTED
FIRMS_TN_0080,PARTIAL_POST_ONLY,MISSING_PRODUCT,REAL_CDSE_SUCCESS,True,2026-09-05T16:25:38Z,
FIRMS_TN_0081,PARTIAL_PRE_ONLY,REAL_CDSE_SUCCESS,CLOUD_REJECTED,True,2026-09-05T16:25:46Z,
FIRMS_TN_0082,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:25:51Z,MISSING_PRODUCT
FIRMS_TN_0083,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:25:56Z,CLOUD_REJECTED
FIRMS_TN_0084,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:26:00Z,MISSING_PRODUCT
FIRMS_TN_0085,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:26:05Z,MISSING_PRODUCT
FIRMS_TN_0086,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:26:09Z,MISSING_PRODUCT
FIRMS_TN_0087,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:26:18Z,CLOUD_REJECTED
FIRMS_TN_0088,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:26:27Z,CLOUD_REJECTED
FIRMS_TN_0089,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:26:31Z,CLOUD_REJECTED
FIRMS_TN_0090,REAL_CDSE_SUCCESS,REAL_CDSE_SUCCESS,REAL_CDSE_SUCCESS,True,2026-09-05T16:26:39Z,
FIRMS_TN_0091,PARTIAL_POST_ONLY,MISSING_PRODUCT,REAL_CDSE_SUCCESS,True,2026-09-05T16:26:45Z,
FIRMS_TN_0092,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:26:51Z,CLOUD_REJECTED
FIRMS_TN_0093,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:26:55Z,MISSING_PRODUCT
FIRMS_TN_0094,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:27:00Z,CLOUD_REJECTED
FIRMS_TN_0095,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:27:07Z,CLOUD_REJECTED
FIRMS_TN_0096,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:27:12Z,CLOUD_REJECTED
FIRMS_TN_0097,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:27:16Z,CLOUD_REJECTED
FIRMS_TN_0098,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:27:20Z,CLOUD_REJECTED
FIRMS_TN_0099,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:27:25Z,CLOUD_REJECTED
FIRMS_TN_0100,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:27:31Z,CLOUD_REJECTED
FIRMS_TN_0101,MISSING_PRODUCT,MISSING_PRODUCT,MISSING_PRODUCT,False,2026-09-05T16:27:35Z,MISSING_PRODUCT
FIRMS_TN_0102,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:27:40Z,CLOUD_REJECTED
FIRMS_TN_0103,PARTIAL_POST_ONLY,MISSING_PRODUCT,REAL_CDSE_SUCCESS,True,2026-09-05T16:27:45Z,
