latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,satellite_source,row_id,landcover_code,landcover_class,osm_coverage_status,distance_to_facility_m,distance_to_facility_km,nearest_facility_osm_id,nearest_facility_osm_type,nearest_facility_name,nearest_facility_type,nearest_facility_category,nearest_facility_tier,near_industrial_500m,near_industrial_1000m,near_industrial_2000m,near_industrial_5000m,near_industrial_10000m,distance_to_higher_relevance_m,distance_to_higher_relevance_km,nearest_hr_osm_id,nearest_hr_name,nearest_hr_category,near_higher_relevance_500m,near_higher_relevance_1000m,near_higher_relevance_2000m,near_higher_relevance_5000m,near_higher_relevance_10000m,distance_to_general_context_m
13.08217,79.97812,305.51,0.49,0.48,2024-11-06,1946,N20,VIIRS,n,2.0NRT,289.63,1.13,N,VIIRS_N20,24,20,Shrubland,FAILED_TILE,101985.06707114773,101.98506707114772,202465563,way,,Other Industrial,Industrial Area / Zone,GENERAL_CONTEXT,0,0,0,0,0,102274.13757400696,102.27413757400696,1026841614,,Mining & Quarry,0,0,0,0,0,101985.06707114773
13.08157,79.98259,306.65,0.49,0.48,2024-11-06,1946,N20,VIIRS,n,2.0NRT,289.54,1.15,N,VIIRS_N20,25,30,Grassland,FAILED_TILE,101935.61816199873,101.93561816199873,202465563,way,,Other Industrial,Industrial Area / Zone,GENERAL_CONTEXT,0,0,0,0,0,102322.75733163157,102.32275733163156,1026841614,,Mining & Quarry,0,0,0,0,0,101935.61816199873
12.11268,79.59145,332.93,0.53,0.42,2024-11-08,813,N20,VIIRS,n,2.0NRT,300.65,4.24,D,VIIRS_N20,26,40,Cropland,COVERED,1661.525391031482,1.661525391031482,341813936,way,Chendur,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,0,0,1,1,1,4042.1499812331745,4.042149981233174,705173099,Sree Amman Transformer Works,Manufacturing & Industrial Works,0,0,0,1,1,8537.953527603479
12.97006,79.91603,320.27,0.37,0.58,2024-11-08,2048,N20,VIIRS,n,2.0NRT,278.03,1.46,N,VIIRS_N20,27,30,Grassland,FAILED_TILE,88663.06726286904,88.66306726286903,1026841614,way,,Mining,Mining & Quarry,HIGHER_RELEVANCE,0,0,0,0,0,88663.06726286904,88.66306726286903,1026841614,,Mining & Quarry,0,0,0,0,0,89526.06844698616
11.81808,77.91673,300.71,0.56,0.52,2024-11-08,2048,N20,VIIRS,n,2.0NRT,281.62,1.01,N,VIIRS_N20,28,50,Built-up,COVERED,328.35658889246344,0.32835658889246344,340479236,way,,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,1,1,1,1,1,430.54852234929126,0.43054852234929125,876239837,JSW Steel Plant,Steel / Metallurgy,1,1,1,1,1,1780.5655397774794
11.81653,77.91456,300.69,0.56,0.52,2024-11-08,2048,N20,VIIRS,n,2.0NRT,279.36,1.23,N,VIIRS_N20,29,10,Tree cover,COVERED,456.8826663525913,0.4568826663525913,876239837,way,JSW Steel Plant,Manufacturing,Steel / Metallurgy,HIGHER_RELEVANCE,1,1,1,1,1,456.8826663525913,0.4568826663525913,876239837,JSW Steel Plant,Steel / Metallurgy,1,1,1,1,1,1498.7110293226665
11.18483,79.0995,302.91,0.35,0.56,2024-11-08,2048,N20,VIIRS,n,2.0NRT,279.77,0.85,N,VIIRS_N20,30,50,Built-up,COVERED,336.38136249246065,0.33638136249246064,340697977,way,,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,1,1,1,1,1,605.7154374334536,0.6057154374334537,1468887795,,Power Plant,0,1,1,1,1,806.3601251657773
13.16331,80.28699,309.23,0.38,0.59,2024-11-08,2048,N20,VIIRS,n,2.0NRT,285.26,0.96,N,VIIRS_N20,31,50,Built-up,FAILED_TILE,116922.44802277119,116.92244802277119,202465563,way,,Other Industrial,Industrial Area / Zone,GENERAL_CONTEXT,0,0,0,0,0,122665.27697548093,122.66527697548092,1026841614,,Mining & Quarry,0,0,0,0,0,116922.44802277119
13.08252,79.97832,310.31,0.37,0.58,2024-11-08,2048,N20,VIIRS,n,2.0NRT,286.86,0.91,N,VIIRS_N20,32,20,Shrubland,FAILED_TILE,102024.68482408114,102.02468482408113,202465563,way,,Other Industrial,Industrial Area / Zone,GENERAL_CONTEXT,0,0,0,0,0,102317.02106355492,102.31702106355492,1026841614,,Mining & Quarry,0,0,0,0,0,102024.68482408114
12.96966,79.91622,315.4,0.37,0.58,2024-11-08,2048,N20,VIIRS,n,2.0NRT,277.86,1.12,N,VIIRS_N20,33,40,Cropland,FAILED_TILE,88623.36201494736,88.62336201494736,1026841614,way,,Mining,Mining & Quarry,HIGHER_RELEVANCE,0,0,0,0,0,88623.36201494736,88.62336201494736,1026841614,,Mining & Quarry,0,0,0,0,0,89480.85016805097
11.38716,78.70573,330.54,0.4,0.37,2024-11-09,756,N20,VIIRS,n,2.0NRT,279.55,2.52,D,VIIRS_N20,34,40,Cropland,COVERED,6305.329550475626,6.305329550475626,1201862060,way,Dhanalakshmi Sugars,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,0,0,0,0,1,16398.593446370905,16.398593446370906,1000569414,,Mining & Quarry,0,0,0,0,0,21822.461687162842
11.39555,77.11979,341.93,0.46,0.39,2024-11-09,756,N20,VIIRS,n,2.0NRT,301.53,4.78,D,VIIRS_N20,35,30,Grassland,FAILED_TILE,19112.91841048882,19.11291841048882,336571755,way,Bannari Amman Sugars,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,0,0,0,0,0,19300.676985737697,19.300676985737695,17338131,,Power Plant,0,0,0,0,0,19177.86175419431
